Chemical Name	CAS #	Formula	Synonyms	Get Report
"T-BUTYL CHROMATE, as Cr03"	1189-85-1	C8H18CrO4	di-tert-Butyl ester of chromic acid	Get Report 
O-DIANISIDINE-BASED DYES	119-90-4	C14H16N2O2	"Dianisidine; 3,3'-Dianisidine; 3,3'-Dimethoxybenzidine"	Get Report 
"3,3'-DIMETHYLBENZIDINE"	119-93-7	C14H16N2	"4,4'-Diamino-3,3'-dimethylbiphenyl; Diaminoditolyl; 3,3'-Dimethylbenzidine; 3,3'-Dimethyl-4,4'-diphenyldiamine; 3,3'-Tolidine"	Get Report 
O-TOLIDINE	119-93-7	C14H16N2	"4,4'-Diamino-3,3'-dimethylbiphenyl; Diaminoditolyl; 3,3'-Dimethylbenzidine; 3,3'-Dimethyl-4,4'-diphenyldiamine; 3,3'-Tolidine"	Get Report 
O-TOLIDINE-BASED DYES	119-93-7D	Varies		Get Report 
CATECHOL	120-80-9	C6H6O2	"1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; o-Dihydroxybenzene; 2-Hydroxyphenol; Pyrocatechol"	Get Report 
"1,2,4-TRICHLOROBENZENE"	120-82-1	C6H3Cl3	"unsym-Trichlorobenzene; 1,2,4-Trichlorobenzol"	Get Report 
MICA (CONTAINING LESS THAN 1% QUARTZ)	12001-26-2	No formula	Biotite; Lepidolite; Margarite; Muscovite; Phlogopite; Roscoelite; Zimmwaldite	Get Report 
ASBESTOS - CROCIDOLITE	12001-28-4	Hydrated mineral silicates		Get Report 
ASBESTOS - CHRYSOTILE	12001-29-5	Hydrated mineral silicates		Get Report 
NICKEL SUBSULFIDE	12035-72-2	Ni3S2		Get Report 
"TUNGSTEN CARBIDE (CONTAINING >0.3% Ni), as Ni"	12070-12-1	CW/Co/Ni/Ti	Cemented tungsten carbide; Cemented WC; Hard metal [Note: The tungsten carbide (WC) content is generally 85-95% & the cobalt	Get Report 
